Data,Posiłek,"Produkty i potrawy","Miara użyteczna","ilość (g)","kalorie (kcal)","Białka (g)","Zwierzęce (g)","Roślinne (g)","Tłuszcze (g)","Nasycone (g)","Jednonienasycone (g)","Wielonienasycone (g)","Kwas omega 3 (mg)","Kwas omega 6 (mg)","Węglowodany (g)","Cukry (g)","Cholesterol (g)","Błonnik (g)","Kofeina (mg)","Kwas foliowy (ug)","Witamina A (ug)","Witamina B1 (mg)","Witamina B2 (mg)","Witamina B5 (mg)","Witamina B6 (mg)","Biotyna (ug)","Witamina B12 (ug)","Witamina C (mg)","Witamina D (ug)","Witamina E (mg)","Witamina PP (mg)","Witamina K (ug)","Cynk (mg)","Fosfor (mg)","Jod (ug)","Magnez (mg)","Miedź (mg)","Potas (mg)","Selen (ug)","Sód (mg)","Wapń (mg)","Żelazo (mg)","Sól (g)"
2023-01-13,Śniadanie,"Pomidor koktajlowy","150x g",150,46.5,1.245,,,0.945,,,,,,8.265,,,3.15,,15,0,0.12,0.105,,0.09,,,40.8,,1.47,1.215,6.3,0.3,42,,17.85,0.09,390,,9,16.5,0.495,
2023-01-13,Lunch,"Twister Classic","1x sztuka",226,540.14,19.436,,,27.12,4.746,,,,,51.98,3.842,,2.938,,,,,,,,,,,,,,,,,,,,,,1175.2,,,2.938
2023-01-13,Obiad,Banan,"70x g",70,67.9,0.7,0.7,0,0.21,0.084,0.021,0.042,0.014,0.028,16.45,13.44,0,1.19,0,15.4,5.6,0.028,0.07,0.259,0.252,,0,6.3,0,0.189,0.35,0.35,0.126,14,1.96,23.1,0.07,276.5,0.728,0.7,4.2,0.28,0
2023-01-13,Obiad,"Skinny Duo Bar Salted Caramel","2x porcja",60,198,12.6,,,9,4.62,,,,,20.4,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,0.084
2023-01-13,Przekąska,"Schab w sosie własnym ","1x porcja",345,394.6,61.59,1.49,0,13.19,4.62,0.03,0.15,0.01,0.14,9.69,3.54,0,1.25,,14.03,1.33,0.03,0.02,,0.07,,0,4,0,0.1,0.18,0.28,0.19,12.68,1.3,5.83,0.04,86.17,,10.77,17.57,0.39,0.15
2023-01-13,Przekąska,Ziemniaki,"300x g",300,261,5.7,5.7,0,0.3,0.03,0,0.18,0.03,0.15,61.5,0.9,,4.8,,45,3,0.3,0.12,,0.99,,,33,0,0.15,4.2,,1.05,183,9,69,0.42,1473,,24,12,1.8,0.06
2023-01-13,Przekąska,"Dominik Kapusta kiszona z marchewką 1 kg","250x g",250,62.5,2.25,,,0.25,0.075,,,,,9.25,3.75,,6.5,,,,,,,,,,,,,,,,,,,,,,1100,,,2.75
2023-01-14,Śniadanie,"Jajo świeże","2x sztuka",112,155.68,14,,,10.864,,,,,,0.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-14,Śniadanie,"Chleb pszenny","130x g",130,340.6,12.09,12.09,0,1.82,0.39,0.26,1.144,0.052,1.092,70.59,0.65,0,3.51,,39.91,,0.26,0.091,,0.143,,0,0,0,0.728,2.236,,1.43,130,,39,0.156,178.1,,589.16,20.8,1.69,1.469
2023-01-14,Śniadanie,Olej,"1x łyżka",10,88.4,0,,,10,0.67,6.3,2.58,,,0,0,0,0,,,,,,,,,,,,2.67,,,,,,,,,,,,,
2023-01-14,Śniadanie,"Mleko spożywcze 2% tłuszczu","250x g",250,127.5,8.5,0,8.5,5,3,1.5,0.25,,,12.25,,20,0,,12.5,62.5,0,0.5,,0.25,,1,2.5,0,0.25,0.25,,0.75,215,,30,0,352.5,,112.5,300,0.25,
2023-01-14,Lunch,"Sałatka z kurczakiem rukolą i granatem","2.5x porcja",854.17,499.6,65,5.88,56.38,6.99,1.78,1.43,1,0.14,0.72,49.9,23.89,150,13.23,,64.06,51.06,0.53,0.7,,1.78,,1.32,36.09,0.02,2.18,32.9,85.66,2.5,781.11,118.85,165.77,0.42,2169.15,1.09,2292.42,237.38,2.94,5.73
2023-01-14,Lunch,Rafaello,"3x porcja",86.4,316.48,3.77,0.72,,30.71,24.86,1.01,0.33,0.01,0.32,5.57,2.48,0,0.39,,2.88,,0.01,0.02,,0,,0,0.17,0,0.72,0.1,0,0.1,13.62,0.06,8.07,0.03,23.34,,0.42,7.17,0.09,0.05
